"№";"АО";"Район";Адрес жилого помещения;Л/счёт;"Статус";"Доля в праве собственности";"Фамилия имя отчество";"Дата рождения";"Место рождения";"Серия";"Номер";"Дата выдачи";"Кем выдан";"ИНН";"СНИЛС";"Телефон";"Адрес электронной почты";"Фактический адрес";"Период";"Начислено за месяц, руб.";"Перерасчеты. руб.";"Предъявлено. руб.";"Оплачено, руб";"Долг. руб.";"в т.ч. ХВС и ВО";"в т.ч. ГВС";"в т.ч. отопление";"в т.ч. вывоз ТКО";"в т.ч. содержание и обслуживание МКД";"в т.ч. целевые взносы";"в т.ч. домофон";"в т.ч. радио"
;СВАО;"Медведково Южное";"Ясный проезд, д. 28, кв. 56";123465768;"Собственник";1;"Короткова Милана Ивановна";17.08.63;"г. Северск, РСФСР";4331;840914;13.09.15;"ОВД России по г. Нижнекамск";6643580951;98180074027;;"letayui@gmail.com";"Ясный проезд, д. 28, кв. 56";"09.2022";3450;0;3450;1000;2450;200;200;1350;100;200;200;100;100
;СВАО;Ярославский;"Ярославское ш., д. 8, корп. 1, кв. 173";987654321;"Зарегистрированный";;"Моисеев Илья Ярославович";02.02.00;"г. Каспийск, РФ";4473;732127;10.07.14;"Отделением УФМС России в г. Батайск";412319324561;54700545774;89660982174;;"Ярославское ш., д. 8, корп. 1, кв. 173";"03.2023";7850;750;8600;1700;6900;700;1100;3000;600;300;800;200;200
;"СВАО";"Ярославский";"Ярославское ш., д. 8, корп. 1, кв. 173";987654321;"Зарегистрированный";;"Моисеев Илья Ярославович";02.02.00;"г. Каспийск, РФ";4473;732127;10.07.14;"Отделением УФМС России в г. Батайск";412319324561;54700545774;89660982174;;"Ярославское ш., д. 8, корп. 1, кв. 173";"09.2023";8600;0;8600;0;8600;1000;1500;3700;600;1000;300;300;200
;"ЮВАО";"Лефортово";"Юрьевский пер., д. 22, корп. 1, кв. 2";125348903;"Собственник";1;"Мухин Александр Максимович";13.11.90;"г. Пермь, РСФСР";4120;743093;18.02.19;"Отделом УФМС России по г. Энгельс";422992628804;55793874567;;;"Юрьевский пер., д. 22, корп. 1, кв. 2";"01.2024";5600;0;5600;0;5600;700;1100;2300;500;500;300;100;100
;"СВАО";"Бутырский";"ул. Яблочкова, д. 21, кв. 26";192837465;"Собственник";0,75;"Козин Илья Константинович";15.05.01;"г. Ноябрьск, РФ";4110;283717;04.10.16;"Отделом внутренних дел России по г. Иваново";928951612905;25069248781;;;"ул. Яблочкова, д. 21, кв. 26";"01.2023";6000;0;6000;0;6000;1000;1500;3000;200;100;100;100;0
;"СВАО";"Бутырский";"ул. Яблочкова, д. 21, кв. 26";192837465;"Собственник";0,75;"Козин Илья Константинович";15.05.01;"г. Ноябрьск, РФ";4110;283717;04.10.16;"Отделом внутренних дел России по г. Иваново";928951612905;25069248781;;;"ул. Яблочкова, д. 21, кв. 26";"02.2023";6000;0;6000;0;6000;1000;1500;3000;200;100;100;100;0
;"СВАО";"Бутырский";"ул. Яблочкова, д. 21, кв. 26";192837465;"Собственник";0,75;"Козин Илья Константинович";15.05.01;"г. Ноябрьск, РФ";4110;283717;04.10.16;"Отделом внутренних дел России по г. Иваново";928951612905;25069248781;;;"ул. Яблочкова, д. 21, кв. 26";"03.2023";6000;150;6150;0;6150;1000;1600;3000;250;100;100;100;0
;"СВАО";"Бутырский";"ул. Яблочкова, д. 21, кв. 26";192837465;"Собственник";0,75;"Козин Илья Константинович";15.05.01;"г. Ноябрьск, РФ";4110;283717;04.10.16;"Отделом внутренних дел России по г. Иваново";928951612905;25069248781;;;"ул. Яблочкова, д. 21, кв. 26";"04.2023";6000;-300;5700;0;5700;1000;1500;2700;200;100;100;100;0
;"СВАО";"Бутырский";"ул. Яблочкова, д. 21, кв. 26";192837465;"Собственник";0,75;"Козин Илья Константинович";15.05.01;"г. Ноябрьск, РФ";4110;283717;04.10.16;"Отделом внутренних дел России по г. Иваново";928951612905;25069248781;;;"ул. Яблочкова, д. 21, кв. 26";"05.2023";6000;0;6000;0;6000;1000;1500;3000;200;100;100;100;0
;"СВАО";"Бутырский";"ул. Яблочкова, д. 21, кв. 26";192837465;"Собственник";0,75;"Козин Илья Константинович";15.05.01;"г. Ноябрьск, РФ";4110;283717;04.10.16;"Отделом внутренних дел России по г. Иваново";928951612905;25069248781;;;"ул. Яблочкова, д. 21, кв. 26";"06.2023";6000;0;6000;0;6000;1000;1500;3000;200;100;100;100;0
;"ВАО";"Преображенское";"ул. Электрозаводская, д. 32, кв. 311";709834239;"Собственник";0,25;"Попова Маргарита Владимировна";29.07.75;"г. Нижнекамск, РСФСР";4561;353349;26.07.22;"Отделением УФМС России по г. Ачинск";973903008573;35544713991;;;"ул. Электрозаводская, д. 32, кв. 311";"03.2022";7300;0;7300;1300;6000;800;1300;3400;200;100;100;100;0
;"ВАО";"Преображенское";"ул. Электрозаводская, д. 32, кв. 311";709834239;"Собственник";0,25;"Попова Маргарита Владимировна";29.07.75;"г. Нижнекамск, РСФСР";4561;353349;26.07.22;"Отделением УФМС России по г. Ачинск";973903008573;35544713991;;;"ул. Электрозаводская, д. 32, кв. 311";"04.2022";7150;-150;7000;3700;3300;300;700;1800;100;200;200;0;0
;"ВАО";"Преображенское";"ул. Электрозаводская, д. 32, кв. 311";709834239;"Собственник";0,25;"Попова Маргарита Владимировна";29.07.75;"г. Нижнекамск, РСФСР";4561;353349;26.07.22;"Отделением УФМС России по г. Ачинск";973903008573;35544713991;;;"ул. Электрозаводская, д. 32, кв. 311";"07.2022";6800;300;7100;1000;6100;800;1300;3400;200;100;200;100;0
;"ВАО";"Гольяново";"ул. Чусовская, д. 5, кв. 11";309018291;"Зарегистрированный";0,25;"Панкова Дарья Андреевна";14.02.97;"г. Калуга, РФ";4888;516677;03.11.19;"Отделением УФМС России по г. Муром";449809907331;39740574625;;;"ул. Чусовская, д. 5, кв. 11";"01.2023";5300;0;5300;1000;4300;500;700;2100;200;200;200;200;200
;"ВАО";"Гольяново";"ул. Чусовская, д. 5, кв. 11";309018291;"Зарегистрированный";;"Панкова Дарья Андреевна";14.02.97;"г. Калуга, РФ";4888;516677;03.11.19;"Отделением УФМС России по г. Муром";449809907331;39740574625;;;"ул. Чусовская, д. 5, кв. 11";"02.2023";5100;200;5300;700;4600;700;800;2100;200;200;200;200;200
;"ВАО";"Гольяново";"ул. Чусовская, д. 5, кв. 11";420987091;"Собственник";1;"Волошин Алексей Львович";05.06.80;"г. Мурманск, РСФСР";4272;997670;21.01.21;"Отделением УФМС России по г. Саранск";982736983302;57863367454;;;"ул. Яблочкова, д. 26А, кв. 28";"01.2023";5300;0;5300;1000;4300;500;700;2100;200;200;200;200;200
;"ВАО";"Гольяново";"ул. Чусовская, д. 5, кв. 11";420987091;"Собственник";1;"Волошин Алексей Львович";05.06.80;"г. Мурманск, РСФСР";4272;997670;21.01.21;"Отделением УФМС России по г. Саранск";982736983302;57863367454;;;"ул. Яблочкова, д. 26А, кв. 28";"02.2023";5100;200;5300;700;4600;700;800;2100;200;200;200;200;200
;"САО";"Головинский";"ул. Флотская, д. 35, кв. 79";131230918;"Собственник";1;"Максимова Милана Матвеевна";12.09.03;"г. Екатеринбург, РФ";4118;395962;14.01.15;"Отделением УФМС России по г. Железногорск";437997864825;15145738562;;;"ш. Энтузиастов, д. 3, корп. 2, кв. 307";"11.2023";9100;0;9100;8700;400;0;0;0;200;200;0;0;0
